,title,href,about
0,"Аналітик, вакансія від 4 червня 2024",https://www.work.ua/jobs/5682024/,"Повна зайнятість. Досвід роботи від 2 років.
                            T.H.E. Capital, агентство нерухомості преміум-класу, шукає фахівця на посаду аналітика. Наше агентство складається із молодих та амбіційних спеціалістів, які вміють перетворювати робочі будні на справжнє задоволення…"
1,"Аналітик операційного департаменту, вакансія від 4 червня 2024",https://www.work.ua/jobs/5619347/,"Повна зайнятість. Досвід роботи від 1 року. Середня спеціальна освіта.
                            Національна фармацевтична компанія «Фармастор» запрошує в свою команду Аналітика операційного департаменту. Нам необхідний співробітник, який має досвід та знання:   досвід роботи від 1 року;   поглиблений рівень…"
2,"Фінансовий аналітик, вакансія від 3 червня 2024",https://www.work.ua/jobs/5681057/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            ЛЮКСОПТИКА це національний лідер оптичного ринку та частина міжнародної групи компаній Essilor Group: найбільша мережа оптик в Україні, власні торговельні марки та власне виробництво лінз для окулярів Lenti Pro…"
3,"Аналітик групи операційної ефективності, вакансія від 3 червня 2024",https://www.work.ua/jobs/5638728/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Vodafone Україна — компанія світового рівня, що займає провідні позиції у сфері технологій та телекомунікацій, впроваджує інновації у всіх напрямках діяльності. Запорукою успіху Vodafone Україна є наші співробітники…"
4,"Аналітик публічних закупівель, вакансія від 3 червня 2024",https://www.work.ua/jobs/3951059/,"Повна зайнятість. Також готові взяти студента. Незакінчена вища освіта.
                            Громадська організація «Платформа Громадський Контроль» шукає аналітика моніторингу державних закупівель. Обов’язки:   перевірка тендерної документації на відповідність ЗУ «Про публічні закупівлі»   аналіз даних,…"
5,"Аналітик, консультант з впровадження ПЗ (бухгалтерський облік), вакансія від 31 травня 2024",https://www.work.ua/jobs/5561752/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            IТ-Enterpise — український розробник сучасних цифрових та хмарних рішень для управління бізнесом, постачальник та популяризатор технологій класу Industry 4.0. Наша мета — зробити все для того, щоб бізнес був простим…"
6,"Фахівець з прогнозування продажів, вакансія від 5 червня 2024",https://www.work.ua/jobs/5643727/,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Danone оголошує про відкриття позиції Фахівця з прогнозування попиту. Ми пропонуємо:   Офіційне працевлаштування та медичне страхування;   Дистанційний або гібридний формат роботи;   Цікаві та різноманітні завдання…"
7,"Трейдер-аналітик (Binance), вакансія від 5 червня 2024",https://www.work.ua/jobs/5658342/,"Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера.
                            Привіт! Ми — Flowspot — проп-трейдингова компанія, яка об'єднує трейдинг та освіту. Наша мета — надати трейдерам усі можливості для заробітку на ринку криптовалютних активів та забезпечити всіма інструментами професійного…"
8,"Розробник-аналітик 1С, вакансія від 5 червня 2024",https://www.work.ua/jobs/5661209/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            IDS Ukraine -лідер українського ринку мінеральних вод у всіх категоріях. Компанія має збалансований портфель популярних мінеральних вод, які видобуваються в екологічно чистих регіонах України та представлені на ринку…"
9,"Аналітик, вакансія від 6 червня 2024",https://www.work.ua/jobs/5517170/,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Компанія «Агробудівельний альянс «Астра»» — один з найбільших постачальників і сервісних операторів сільськогосподарської техніки в Україні, що представляє відомі в Європі і світі марки. Провідні напрями нашої діяльності:…"
10,"Аналітик SQL, вакансія від 6 червня 2024",https://www.work.ua/jobs/5333329/,"Повна зайнятість. Також готові взяти студента. Вища освіта.
                            Sense Bank — це державний банк з 30 роками історії. За цей час ми стали не просто місцем для роботи, а спільнотою з 4000 людей, де кожен присвячений місії — створювати сенси, щоб здійснювались мрії українців. Шукаємо…"
11,"Market research analyst, вакансія від 6 червня 2024",https://www.work.ua/jobs/3794593/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Міжнародна компанія, яка спеціалізується на розробці електронних, механічних та електромеханічних спеціалізованих пристроїв у зв’язку з розширенням, шукає у свою команду аналітика. Вимоги:   Знання англійської мови —…"
12,"Фахівець з управлінського обліку та аналізу даних, Data Analyst, вакансія від 6 червня 2024",https://www.work.ua/jobs/5671975/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Kormotech — міжнародна компанія з українським корінням, яка створює високоякісні продукти для котів та собак. Ми є лідером ринку в Україні за обсягами продажів і входимо до числа 60 найбільших світових виробників…"
13,"Бізнес-аналітик 1С, вакансія від 6 червня 2024",https://www.work.ua/jobs/5373124/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Запрошуємо приєднатися до нашої команди Бізнес-аналітика 1С. Основні обов’язки:   аналіз програмної, інтеграційної архітектури, аналіз інформаційних потоків між модулями системи, інформаційною системою (ІС) і зовнішніми…"
